device,ip,timestamp,host
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.437Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.438Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.438Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.438Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.440Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.440Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.440Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.441Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.448Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.450Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.451Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.453Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.454Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.457Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.457Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.459Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.461Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.465Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.469Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.470Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.472Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.473Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.477Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.477Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.478Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.481Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.485Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.486Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.487Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.489Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.493Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.495Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.495Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.496Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:50.500Z,Cablevision Systems Corp. (CVNT-Z)
